Source File,Execution Time,Export Time,Overall Time
DT GS1 CFIA Test Data 2016 Single Declaration_0121_1.x Standard Format.ai,3.22131,6.67087,
DT GS1 CFIA Test Data 2016 Single Declaration_0122_2.x Narrow Standard Format.ai,3.0827,0.874148,
DT GS1 CFIA Test Data 2016 Single Declaration_0123_3.x Bilingual Standard Format.ai,3.55756,1.15727,
DT GS1 CFIA Test Data 2016 Single Declaration_0125_5.x Simplified Standard Format.ai,0.397077,0.43226,
TOTAL,10.2586,9.13455,33.9015
