Source File,Execution Time,Export Time,Overall Time
DT GS1 CFIA Test Data 2016 Single Declaration_0121_1.x Standard Format.ai,2.97962,0.880853,
DT GS1 CFIA Test Data 2016 Single Declaration_0122_2.x Narrow Standard Format.ai,2.89592,0.893866,
DT GS1 CFIA Test Data 2016 Single Declaration_0123_3.x Bilingual Standard Format.ai,2.95334,1.16765,
DT GS1 CFIA Test Data 2016 Single Declaration_0125_5.x Simplified Standard Format.ai,0.375138,0.459354,
TOTAL,9.20401,3.40172,20.9006
